Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,UK RPI MOM
31/05/2012,-0.067649066,-0.091391073,-0.153078667,-0.096691378,-0.067513014,-0.09283522,-0.061434706,0
29/06/2012,0.042831414,0.054856367,-0.018127951,0.002635561,0.021162799,0.156025749,0.025571358,-0.002
31/07/2012,0.013468909,0.06459619,0.056489453,-0.018038587,0.004451625,0.171140942,0.003487445,0.001
31/08/2012,0.020029758,0.012891121,0.094225833,0.004505934,0.055406359,-0.007997855,0.045212082,0.004
28/09/2012,0.021495779,0.016973515,-0.023201184,0.101823904,0.05790583,-0.033485363,0.051137868,0.005
31/10/2012,-0.004612595,-0.038816587,-0.044160213,-0.08273437,-0.035888773,-0.02781234,-0.030891374,0.006
30/11/2012,0.014697327,0.000428747,0.019613486,0.063995681,-0.000510193,-0.019636653,-0.005038044,0
31/12/2012,0.019128279,-0.026134642,0.00625077,-0.009991416,-0.031681363,-0.057134631,-0.021543023,0.005
31/01/2013,0.053730187,0.023907983,0.054959567,0.024754768,-0.003160476,0.030964627,-0.009530894,-0.004
28/02/2013,0.014745012,-0.040935254,-0.041567594,-0.051621491,-0.056820502,-0.046820358,-0.050481877,0.007
29/03/2013,0.026757075,0.006660487,0.019982025,-0.044336161,0.00796954,-0.022395825,0.00983761,0.004
30/04/2013,0.027868907,-0.027965568,-0.057701973,-0.051220851,-0.087028739,0.00055807,-0.077458046,0.003
31/05/2013,0.014370476,-0.022465495,-0.019311049,0.026235085,-0.057907171,-0.006090814,-0.054670109,0.002
28/06/2013,-0.024187918,-0.047180767,0.023885461,-0.074393511,-0.122163493,-0.048106798,-0.121539176,-0.001
31/07/2013,0.047328269,0.0135844,0.071083012,0.011266947,0.06337622,-0.027774507,0.071118852,0
30/08/2013,-0.020620671,0.033984611,0.039581085,0.017468097,0.07862794,0.003544758,0.063287673,0.005
30/09/2013,0.037326519,-0.025560296,-0.044879406,0.014856332,-0.053019851,-0.009931813,-0.049497342,0.004
31/10/2013,0.03957923,-0.014807612,-0.016490274,0.002436416,-0.001250869,-0.024697668,-0.002487891,0
29/11/2013,0.021712298,-0.008056499,-0.002100304,-0.044691968,-0.060011614,-0.008930783,-0.056170961,0.001
31/12/2013,0.020881272,0.012335452,0.031699196,0.040344771,-0.037802148,-0.03490049,-0.038467713,0.005
31/01/2014,-0.03241933,0.002935154,-0.019787191,-0.042936157,0.025204728,-0.013173495,0.030692071,-0.003
28/02/2014,0.042120335,0.062303065,0.037256617,0.012920481,0.071179285,0.092929583,0.06597786,0.006
31/03/2014,0.001861178,0.004068569,-0.011725417,-0.023741835,-0.033977109,0.074605055,-0.028788298,0.002
30/04/2014,0.007288228,0.02433034,0.00415679,0.017423454,0.004541369,0.026581315,0.009425368,0.004
30/05/2014,0.022491295,-0.02876708,0.014459598,0.025587981,-0.037216492,-0.080787234,-0.038744404,0.001
